Name,Year
Rob Fergus,2011
Jun Xu,2016
Tao Mei,2016
Ting Yao,2016
Yong Rui,2016
Maoke Yang,2018
Kun Yu,2018
Chi Zhang,2018
Zhiwei Li,2018
Kuiyuan Yang,2018
Dumitru Erhan,2014
Christian Szegedy,2014
Alexander Toshev,2014
Dragomir Anguelov,2014
Luan Tran,2017
Xi Yin,2017
Xiaoming Liu,2017
Omar Oreifej,2013
Zicheng Liu,2013
Zhichao Yin,2018
Jianping Shi,2018
Qiang Zhu,2006
Mei-Chen Yeh,2006
Kwang-Ting Cheng,2006
Shai Avidan,2006
Xiangxin Zhu,2012
Deva Ramanan,2012
Jacob Andreas,2016
Marcus Rohrbach,2016
Trevor Darrell,2016
Dan Klein,2016
Zhun Zhong,2017
Liang Zheng,2017
Donglin Cao,2017
Shuo Li,2017
Spyros Gidaris,2018
Nikos Komodakis,2018
Stefan Roth,2005
Michael J. Black,2005
Ming-Ming Cheng,2014
Ziming Zhang,2014
Wen-Yan Lin,2014
Philip H. S. Torr,2014
Colin Lea,2017
Michael J. Flynn,2017
René Vidal,2017
Austin Reiter,2017
Gregory D. Hager,2017
Golnaz Ghiasi,2019
Tsung-Yi Lin,2019
Quoc V. Le,2019
Pedro F. Felzenszwalb,2010
Ross Girshick,2010
David McAllester,2010
Justin C. Johnson,2015
Ranjay Krishna,2015
Michael Stark,2015
Li-Jia Li,2015
David A. Shamma,2015
Michael S. Bernstein,2015
Li Fei-Fei,2015
Helmut Grabner,2006
Horst Bischof,2006
Benjamin A. T. Graham,2018
Martin Engelcke,2018
Laurens van der Maaten,2018
Jingen Liu,2009
Jiebo Luo,2009
Mubarak Shah,2009
Bogdan Alexe,2010
Thomas Deselaers,2010
Vittorio Ferrari,2010
Cong Zhang,2015
Hongsheng Li,2015
Xiaogang Wang,2015
Ming-Hsuan Yang,2015
Shaoqing Ren,2014
Xudong Cao,2014
Yichen Wei,2014
Jian Sun,2014
James Hays,2008
Alexei A. Efros,2008
Boqing Gong,2012
Yuan Shi,2012
Fei Sha,2012
Kristen Grauman,2012
Rui Zhao,2015
Wanli Ouyang,2015
Hongsheng Li,2015
Xiaogang Wang,2015
Chao Ma,2015
Ming-Hsuan Yang,2015
Chongyang Zhang,2015
Ming-Hsuan Yang,2015
Arsalan Mousavian,2017
Dragomir Anguelov,2017
John M. Flynn,2017
Jana Kosecka,2017
Anurag Ranjan,2017
Michael J. Black,2017
Leonid Pishchulin,2016
Eldar Insafutdinov,2016
Siyu Tang,2016
Bjoern Andres,2016
Mykhaylo Andriluka,2016
Peter V. Gehler,2016
Bernt Schiele,2016
Tomas Simon,2017
Hanbyul Joo,2017
Iain Matthews,2017
Yaser Sheikh,2017
Wei Zhong,2012
Huchuan Lu,2012
Ming-Hsuan Yang,2012
Radu Timofte,2017
Eirikur Agustsson,2017
Luc Van Gool,2017
Ming-Hsuan Yang,2017
Lei Zhang,2017
Bee Jik Lim,2017
Sanghyun Son,2017
