Name,Year,Gender
Scott Roy,1995,M
Sunita L. Hingorani,1995,F
Long Qing Chen,2017,M
Haizhou Ai,2017,F
Chong Shang,2017,M
Zijie Zhuang,2017,M
Bo Bai,2017,M
Aditya Abhyankar,2006,M
Stephanie Schuckers,2006,M
Taskeed Jabid,2010,M
Md. Hasanul Kabir,2010,M
Oksam Chae,2010,M
Detlev Marpe,2005,M
Thomas Wiegand,2005,M
S. Gordon,2005,M
Xian-Sheng Hua,2004,M
Xian Chen,2004,M
Hong-Jiang Zhang,2004,M
D. Meyer,1997,M
Joachim Denzler,1997,M
Heiner Niemann,1997,M
Hua Gao,2014,M
Anil Yuce,2014,M
Jean-Philippe Thiran,2014,M
Qingbo Wu,2015,M
Zhou Wang,2015,M
Hongliang Li,2015,M
Paul Rodriguez,2013,M
Brendt Wohlberg,2013,M
Wei Wang,2009,M
Jing-fei Dong,2009,F
Tieniu Tan,2009,F
Anil K. Jain,2009,M
Unsang Park,2009,M
S. Wee,2001,M
J. Apostolopoulos,2001,M
Eyung Lim,2002,M
Xudong Jiang,2002,M
Wei-Yun Yau,2002,F
David Minnen,2020,M
Saurabh Singh,2020,M
R. Wagner,2003,M
R. Nowak,2003,M
R. Baraniuk,2003,M
Huiqi Li,2001,F
Opas Chutatape,2001,M
Yulin Xie,2011,F
Huchuan Lu,2011,M
Soo-Chang Pei,2012,M
Tzu-Yen Lee,2012,F
Kede Ma,2015,F
Wentao Liu,2015,M
Zhou Wang,2015,M
Cosmin Ancuti,2016,F
Cosmin Ancuti,2016,F
Christophe De Vleeschouwer,2016,M
Alan C. Bovik,2016,M
Jon Sneyers,2016,M
Pieter Wuille,2016,M
Fu Jin,2003,M
Paul Fieguth,2003,M
Lowell L. Winger,2003,M
E. Jernigan,2003,F
E. Le Pennec,2000,F
Stéphane Mallat,2000,F
Fatih Porikli,2003,F
Khaled Mamou,2009,M
Faouzi Ghorbel,2009,M
Sabri Boughorbel,2005,M
Jean-Philippe Tarel,2005,M
Nozha Boujemaa,2005,F
Noel Brady,1997,M
Frank Bossen,1997,M
Noel Murphy,1997,M
Yan-Tsung Peng,2015,M
Xiangyun Zhao,2015,M
Pamela C. Cosman,2015,M
Yi Zhu,2017,F
Shawn Newsam,2017,M
Shih-Fu Chang,1995,M
R. Dugad,1999,M
Narendra Ahuja,1999,F
Ming Yang,2011,M
Kai Yu,2011,M
Shaohua Sun,2014,F
Shang-Pu Fan,2014,M
Yu-Chiang Frank Wang,2014,M
Maurizio Pilu,1996,M
Andrew Fitzgibbon,1996,M
Rebecca Fisher,1996,F
Wei-Ning Wang,2008,M
Qianhua He,2008,F
Gordon W. Braudaway,1997,M
Francois Bergeaud,1995,M
Stéphane Mallat,1995,F
Nuno Vasconcelos,1997,M
Andrew Lippman,1997,M
Zhou Wang,2002,M
Ligang Lu,2002,M
Alan C. Bovik,2002,M
Hyomin Choi,2018,F
Ivan V. Bajic,2018,M
Mennatullah Siam,2018,M
Mostafa Gamal,2018,M
Moemen Abdel-Razek,2018,M
Senthil Yogamani,2018,M
Martin Jagersand,2018,M
Christian Bräuer-Burchardt,2001,M
K. Voss,2001,M
E. Tabassi,2005,F
Christine D. Wilson,2005,M
J. G. Smith,1998,M
Radhe Mohan,1998,M
Chung-Sheng Li,1998,F
Kun'ichi Miyazawa,2005,F
Keita Ito,2005,M
