Name,Year
Chul Hee Lee,2004
Serdar Yildirim,2004
Murtaza Bulut,2004
Abe Kazemzadeh,2004
Carlos Busso,2004
Zhigang Deng,2004
Sungbok Lee,2004
Shrikanth S. Narayanan,2004
Anuroop Sriram,2018
Heewoo Jun,2018
Sanjeev Satheesh,2018
Adam Coates,2018
Bo Li,2017
Tara N. Sainath,2017
Arun Narayanan,2017
J. Caroselli,2017
Michiel Bacchiani,2017
Ananya Misra,2017
Izhak Shafran,2017
Hasim Sak,2017
Golan Pundak,2017
K. K. Chin,2017
Khe Chai Sim,2017
Ron Weiss,2017
Kevin R. Wilson,2017
Ehsan Variani,2017
Chanwoo Kim,2017
Olivier Siohan,2017
Mitchel Weintraub,2017
Erik McDermott,2017
Richard Rose,2017
Matt Shannon,2017
Shigeki Karita,2019
Nelson Yalta,2019
Shinji Watanabe,2019
Marc Delcroix,2019
Atsunori Ogawa,2019
Tomohiro Nakatani,2019
John H. L. Hansen,1997
Sahar E. Bou-Ghazale,1997
Jason Li,2019
Vitaly Lavrukhin,2019
Boris Ginsburg,2019
Ryan J. Leary,2019
Oleksii Kuchaiev,2019
Jonathan D. Cohen,2019
Huyen Nguyen,2019
Ravi Teja Gadde,2019
Stefan Steidl,2011
Anton Batliner,2011
Florian Schiel,2011
Jarek Krajewski,2011
Björn Schuller,2016
Stefan Steidl,2016
Anton Batliner,2016
Julia Hirschberg,2016
Judee K. Burgoon,2016
Alice Baird,2016
Aaron C. Elkins,2016
Yue Zhang,2016
Eduardo Coutinho,2016
Keelan Evanini,2016
Szu-Wei Fu,2016
Yu Tsao,2016
Xugang Lu,2016
Yu-An Chung,2018
James Glass,2018
Jia-Lin Shen,1998
Jeih-weih Hung,1998
Lin-Shan Lee,1998
Thomas Kemp,1997
Thomas Schaaf,1997
Barbara J. Grosz,1992
Julia Hirschberg,1992
Takashi Fukuda,2017
Masayuki Suzuki,2017
Gakuto Kurata,2017
Samuel Thomas,2017
Jia Cui,2017
Bhuvana Ramabhadran,2017
Hasim Sak,2017
Matt Shannon,2017
Kanishka Rao,2017
Francoise Beaufays,2017
Thomas Drugman,2009
Thierry Dutoit,2009
Elizabeth Shriberg,2001
Andreas Stolcke,2001
Don Baron,2001
Sameer Maskey,2005
Julia Hirschberg,2005
Hossein Hadian,2018
Hossein Sameti,2018
Daniel Povey,2018
Sanjeev Khudanpur,2018
Loren Lugosch,2019
Mirco Ravanelli,2019
Patrick Ignoto,2019
Vikrant Singh Tomar,2019
Yoshua Bengio,2019
Maximilian Bisani,2005
Hermann Ney,2005
Björn Schuller,2012
Stefan Steidl,2012
Anton Batliner,2012
Elmar Nöth,2012
Alessandro Vinciarelli,2012
Felix Burkhardt,2012
Rob J.J.H. van Son,2012
Felix Weninger,2012
Florian Eyben,2012
Tobias Bocklet,2012
Gelareh Mohammadi,2012
Benjamin P. Weiss,2012
Jinyu Li,2014
Rui Zhao,2014
Jui-Ting Huang,2014
Yifan Gong,2014
Valery A. Petrushin,2000
Yi Hu,2006
Philipos C. Loizou,2006
Bo Li,2010
Khe Chai Sim,2010
Elliot Singer,2003
Pedro A. Torres-Carrasquillo,2003
Terry P. Gleason,2003
William B. Campbell,2003
Douglas A. Reynolds,2003
Li Deng,2014
John Platt,2014
Jaeyoung Kim,2017
Mostafa El-Khamy,2017
Jungwon Lee,2017
Ngoc-Quan Pham,2019
Thai-Son Nguyen,2019
Jan Niehues,2019
Markus Müller,2019
Alex Waibel,2019
Yusuke Fujita,2019
Naoyuki Kanda,2019
Shota Horiguchi,2019
Kenji Nagamatsu,2019
Shinji Watanabe,2019
Hynek Hermansky,2005
Petr Fousek,2005
James Glass,2007
Timothy J. Hazen,2007
Scott Cyphers,2007
Igor Malioutov,2007
David F. Huynh,2007
Regina Barzilay,2007
Keiichi Tokuda,1994
Takao Kobayashi,1994
Takashi Sato,1994
Satoshi Imai,1994
Alexander I. Rudnicky,1999
Eric H. Thayer,1999
Paul C. Constantinides,1999
Chris Tchou,1999
R. Shern,1999
Kevin A. Lenzo,1999
Wei Xu,1999
Alice Oh,1999
Roland Kuhn,1998
Bowon Lee,2004
Mark Hasegawa-Johnson,2004
Camille Goudeseune,2004
Suketu Kamdar,2004
Sarah Borys,2004
Ming Li,2004
Thomas S. Huang,2004
Austin R. Waters,2016
Yevgen Chebotar,2016
Sam T. Roweis,2003
Kallirroi Georgila,2005
James Henderson,2005
Oliver Lemon,2005
Dimitri Palaz,2013
Ronan Collobert,2013
Mathew Magimai.-Doss,2013
Paul D. Taylor,2005
Andreas Stolcke,1997
Yochai Konig,1997
Mitchel Weintraub,1997
Elizabeth Shriberg,2005
Zoltán Tüske,2014
Pavel Golik,2014
Ralf Schlüter,2014
Hermann Ney,2014
Andrew E. Rosenberg,2010
Björn Schuller,2007
Anton Batliner,2007
Dino Seppi,2007
Stefan Steidl,2007
Thurid Vogt,2007
Johannes Wagner,2007
Laurence Devillers,2007
Laurence Vidrascu,2007
Noam Amir,2007
Loic Kessous,2007
Vered Aharonson,2007
Stanley F. Chen,2003
Duncan Macho,2002
Laurent Mauuary,2002
Bernhard Noé,2002
Yan Cheng,2002
Douglas Ralph Ealey,2002
Denis Jouvet,2002
Holly Louise Kelleher,2002
David A. Pearce,2002
Fabien Saadoun,2002
Andreas Stolcke,2005
Luciana Ferrer,2005
Sachin S. Kajarekar,2005
Elizabeth Shriberg,2005
Anand Venkataraman,2005
Martin Wöllmer,2010
Angeliki Metallinou,2010
Florian Eyben,2010
Björn Schuller,2010
Shrikanth S. Narayanan,2010
Tuka Al Hanai,2018
Mohammad M. Ghassemi,2018
James Glass,2018
Alan W. Black,2005
Keiichi Tokuda,2005
Gordon Wichern,2019
Joseph M. Antognini,2019
Michael J. Flynn,2019
Licheng Zhu,2019
Emmett McQuinn,2019
Dwight Crow,2019
Ethan Manilow,2019
Jonathan Le Roux,2019
Alain Charles Louis Tritschler,1999
Ramesh A. Gopinath,1999
Antoine Raux,2006
Dan Bohus,2006
Brian Langner,2006
Alan W. Black,2006
Maxine Eskenazi,2006
Heiga Zen,2004
Keiichi Tokuda,2004
Takashi Sato,2004
Takao Kobayashi,2004
Tadashi Kitamura,2004
Takayoshi Yoshimura,2001
Keiichi Tokuda,2001
Takashi Sato,2001
Takao Kobayashi,2001
Tadashi Kitamura,2001
Sankaran Panchapagesan,2016
Ming Sun,2016
Aparna Khare,2016
Spyros Matsoukas,2016
Arindam Mandal,2016
Bjorn Hoffmeister,2016
Shiv Naga Prasad Vitaladevuni,2016
Lijuan Liu,2018
