Name,Year
Gregory Dudek,2002
Evangelos E. Milios,2002
Nikolaus Vahrenkamp,2009
Dmitry Berenson,2009
Tamim Asfour,2009
James J. Kuffner,2009
Rüdiger Dillmann,2009
Jeremy M. Morrey,2003
Bart N. Lambrecht,2003
Andrew D. Horchler,2003
Roy E. Ritzmann,2003
Roger D. Quinn,2003
Susana Garrido,2006
L. A. Moreno,2006
Mohamed Abderrahim,2006
F. F. Martin,2006
Nikos G. Tsagarakis,2011
Irene Sardellitti,2011
Darwin G. Caldwell,2011
Qishen Ha,2017
Kohei Watanabe,2017
Takumi Karasawa,2017
Yoshitaka Ushiku,2017
Tatsuya Harada,2017
Sikang Liu,2017
Nikolay Atanasov,2017
Kartik Mohta,2017
Vijay Kumar,2017
Andreas Richtsfeld,2012
Thomas Morwald,2012
Johann Prankl,2012
Michael Zillich,2012
Markus Vincze,2012
Cameron Finucane,2010
Gangyuan Jing,2010
Hadas Kress-Gazit,2010
Lionel Heng,2013
Bo Li,2013
Marc Pollefeys,2013
Yasushi Yagi,1990
Suguru Kawato,1990
Stefan Hrabar,2008
David S. Conner,2003
Alfred A. Rizzi,2003
Howie Choset,2003
Vincent Nabat,2005
M. de la O Rodriguez,2005
Sébastien Krut,2005
François Pierrot,2005
Igor Mordatch,2015
Kendall Lowrey,2015
Emanuel Todorov,2015
Paul Milgram,1993
Shumin Zhai,1993
David Drascic,1993
Julius J. Grodski,1993
D. Matsui,2005
Takashi Minato,2005
Karl F. MacDorman,2005
Hiroshi Ishiguro,2005
P. Goel,1999
Stergios I. Roumeliotis,1999
Gaurav S. Sukhatme,1999
Heike Vallery,2007
R. Ekkelenkamp,2007
Herman van der Kooij,2007
Martin Buss,2007
Hajime Asama,1989
Akiyoshi Matsumoto,1989
Yukiaki Ishida,1989
Koichiro Deguchi,1998
Giorgio Grisetti,2007
Slawomir Grzonka,2007
Cyrill Stachniss,2007
Patrick Pfaff,2007
Wolfram Burgard,2007
Matteo Munaro,2012
Filippo Basso,2012
Emanuele Menegatti,2012
Andrei Herdt,2010
Nicolas Perrin,2010
Pierre-Brice Wieber,2010
Jae-Hyeon Ko,2003
Benjamin J. Stewart,2003
D. B. Fox,2003
Kurt Konolige,2003
Benson Limketkai,2003
Mark T. Muller,2011
Sergei Lupashin,2011
Raffaello D'Andrea,2011
Igor Bogoslavskyi,2016
Cyrill Stachniss,2016
Auke Jan Ijspeort,2002
Jun Nakanishi,2002
Stefan Schaal,2002
Sadayuki Tsugawa,2011
Shin Kato,2011
Keiji Aoki,2011
Anh V. Nguyen,2016
Dimitrios Kanoulas,2016
Darwin G. Caldwell,2016
Nikos G. Tsagarakis,2016
Stefan M. Holzer,2012
Radu Bogdan Rusu,2012
Mike J. Dixon,2012
Suat Gedikli,2012
Nassir Navab,2012
Alexander Wolf,2003
H.B. Brown,2003
Randall W. Casciola,2003
A. Costa,2003
Michael J. Schwerin,2003
E. Shamas,2003
Howie Choset,2003
Maya Cakmak,2011
Siddhartha S. Srinivasa,2011
Min Goo Lee,2011
Jodi Forlizzi,2011
Sara Kiesler,2011
Auke Jan Ijspeert,2001
Jun Nakanishi,2001
Stefan Schaal,2001
Anthony Mandow,2007
J. Alfredo Martínez,2007
Julián Morales,2007
J.M. Blanco,2007
Alfonso García-Cerezo,2007
J. Suarez Gonzalez,2007
Kurt Konolige,2009
James S. Bowman,2009
Kathryn A. Daltorio,2005
Andrew D. Horchler,2005
Stanislav N. Gorb,2005
Roy E. Ritzmann,2005
Roger D. Quinn,2005
Inrak Choi,2016
Elliot W. Hawkes,2016
David A. Christensen,2016
Christopher J. Ploch,2016
Sean Follmer,2016
Wolfram Burgard,1998
A. Derr,1998
D. B. Fox,1998
Armin B. Cremers,1998
Giuseppe Oriolo,1991
Yoshihiko Nakamura,1991
L.M. Lorigo,1997
Rodney A. Brooks,1997
W.E.L. Grimsou,1997
Xiaobo Tan,2006
Dong-Hyun Kim,2006
Nikki Usher,2006
D. Laboy,2006
J. N. Jackson,2006
A. Kapetanovic,2006
J. Rapai,2006
B. Sabadus,2006
Xin Zhou,2006
Li He,2016
Xiaolong Wang,2016
Hong Zhang,2016
Jacob W. Crandall,2002
Michael A. Goodrich,2002
Elliott Donlon,2018
Siyuan Dong,2018
Melody Liu,2018
Jianhua Li,2018
