Name,Year,Gender
Yuichiro Ogura,2006,M
Hisanori Aikawa,2006,F
Kazushi Shimomura,2006,F
A. Morishima,2006,F
Hun-ok Lim,2006,M
Atsuo Takanishi,2006,M
Vijay Badrinarayanan,2019,M
Jeffrey Hawke,2019,M
David M. Janz,2019,M
Przemysław Mazur,2019,M
Daniele Reda,2019,F
John-Mark A. Allen,2019,M
Vinh-Dieu Lam,2019,M
Alex Bewley,2019,M
Amar Shah,2019,M
Nancy S. Pollard,2002,M
Jessica K. Hodgins,2002,F
Marcia Riley,2002,F
Christopher G. Atkeson,2002,M
Daniel E. Koditschek,1987,M
Lydia E. Kavraki,1994,F
Jean-Claude Latombe,1994,F
Steven D. Eppinger,1987,M
Warren P. Seering,1987,M
Lydia E. Kavraki,1996,F
Mihail N. Kolountzakis,1996,M
Jean-Claude Latombe,1996,F
Wisama Khalil,1986,M
J. Kleinfinger,1986,M
Yevgen Chebotar,2019,M
Ankur Handa,2019,F
Viktor Makoviychuk,2019,M
Miles Macklin,2019,M
Jan Issac,2019,M
Nathan Ratliff,2019,M
Dieter Fox,2019,M
Arjun Singh,2014,M
James Sha,2014,M
Karthik S. Narayan,2014,M
Tudor Achim,2014,M
Pieter Abbeel,2014,M
Michael Milford,2004,M
Gordon Wyeth,2004,M
David Prasser,2004,M
Jeffrey Mahler,2016,M
Florian T. Pokorny,2016,M
Brian Hou,2016,M
Melrose Roderick,2016,M
Michael Laskey,2016,M
Mathieu Aubry,2016,M
Kai Kohlhoff,2016,M
Torsten Kröger,2016,M
James J. Kuffner,2016,M
Ken Goldberg,2016,M
Haoyu Bai,2015,M
Shaojun Cai,2015,M
Nan Ye,2015,F
David Hsu,2015,M
Wee Sun Lee,2015,F
Kevin Lai,2014,M
Liefeng Bo,2014,M
Dieter Fox,2014,M
Yun Jiang,2011,F
Stephen Moseson,2011,M
Ashutosh Saxena,2011,M
L.S. Homem de Mello,1989,M
Arthur C Sanderson,1989,M
Daniel Pickem,2017,M
Paul Glotfelter,2017,M
Li Wang,2017,M
Mark Mote,2017,M
Aaron D. Ames,2017,M
Eric Feron,2017,M
Magnus Egerstedt,2017,M
Johann Borenstein,1990,M
Yoram Koren,1990,M
Matia Pizzoli,2014,F
Christian Forster,2014,M
Davide Scaramuzza,2014,F
Yu Chen,2017,M
Miao Liu,2017,F
Michael Everett,2017,M
Jonathan P. How,2017,M
Paul Newman,2006,M
Dave Cole,2006,M
Kai-Ming Ho,2006,M
Kazuyoshi Ikuta,1988,F
M. Tsukamoto,1988,M
Shigeki Hirose,1988,F
Daniel J. Cole,2006,M
Paul Newman,2006,M
Tucker Balch,2000,M
Maria Hybinette,2000,F
Suchet Bargoti,2017,M
James H. Underwood,2017,M
William McMahan,2006,M
V.K. Chitrakaran,2006,M
M. Csencsits,2006,M
Darren M. Dawson,2006,M
Isobel D. Walker,2006,M
Brent Manley Jones,2006,M
M. Pritts,2006,M
Dustin Dienno,2006,M
Michael D. Grissom,2006,M
Christopher D. Rahn,2006,M
Jeffrey A. Delmerico,2018,M
Davide Scaramuzza,2018,F
Nabil Simaan,2004,M
Richard J. K. Taylor,2004,M
Paul L. Flint,2004,M
Oussama Khatib,1986,M
J.W. Burdick,1986,M
Joydeep Biswas,2012,M
Manuela Veloso,2012,F
Markus W. Achtelik,2011,M
Michael Achtelik,2011,M
Stephan Weiss,2011,M
Roland Siegwart,2011,M
Masaru Uchiyama,1988,F
Pierre Dauchez,1988,M
Matthew McNaughton,2011,M
Chris Urmson,2011,M
John M. Dolan,2011,M
Jinwoo Lee,2011,M
Srikanth Saripalli,2002,M
James F. Montgomery,2002,M
Gaurav S. Sukhatme,2002,M
Cameron Fabbri,2018,F
Jahidul Islam,2018,M
Junaed Sattar,2018,M
Max Schwarz,2015,M
Hannes Schulz,2015,M
Sven Behnke,2015,M
Simon Julier,2001,M
Jeffrey Uhlmann,2001,M
B. Massa,2002,F
Stefano Roccella,2002,F
Maria Chiara Carrozza,2002,F
Paolo Dario,2002,M
Tsuneo Yoshikawa,1985,F
Scott Lenser,2000,M
Manuela Veloso,2000,F
Matthias Luber,2010,M
Johannes A. Stork,2010,M
Gian Diego Tipaldi,2010,M
Kai O. Arras,2010,M
Yoshiyuki Ohmura,2006,M
Yasuo Kuniyoshi,2006,M
Akihiko Nagakubo,2006,M
Cory Sharp,2001,M
O. Shakernia,2001,F
S. Shankar Sastry,2001,M
Zetao Chen,2017,F
Adam S. Jacobson,2017,M
Niko Sünderhauf,2017,M
Ben Upcroft,2017,M
Lingqiao Liu,2017,F
Chunhua Shen,2017,F
Ian R. Reid,2017,M
Michael Milford,2017,M
Alvaro Collet,2009,M
Dmitry Berenson,2009,M
Siddhartha S. Srinivasa,2009,M
Dave Ferguson,2009,M
M.R. Tremblay,1993,M
Mark R. Cutkosky,1993,M
Paul E. I. Pounds,2011,M
Daniel R. Bersak,2011,M
Aaron M. Dollar,2011,M
Davide Scaramuzza,2009,F
Friedrich Fraundorfer,2009,M
Roland Siegwart,2009,M
Ezio Malis,2004,M
Maxim A. Batalin,2004,F
Gaurav S. Sukhatme,2004,M
Myron Hattig,2004,M
Antal K. Bejczy,1990,M
W. Kim,1990,M
Steven C. Venema,1990,M
Ryojun Ikeura,1995,F
Hikaru Inooka,1995,F
