Name,Year,Gender
Kevin A. Lenzo,1999,M
Wei Xu,1999,M
Alice Oh,1999,F
Roland Kuhn,1998,M
Bowon Lee,2004,M
Mark Hasegawa-Johnson,2004,M
Camille Goudeseune,2004,F
Suketu Kamdar,2004,M
Sarah Borys,2004,F
Ming Li,2004,F
Thomas S. Huang,2004,M
Austin R. Waters,2016,M
Yevgen Chebotar,2016,M
Sam T. Roweis,2003,M
Kallirroi Georgila,2005,F
James Henderson,2005,M
Oliver Lemon,2005,M
Dimitri Palaz,2013,M
Ronan Collobert,2013,M
Mathew Magimai.-Doss,2013,M
Paul D. Taylor,2005,M
Andreas Stolcke,1997,M
Yochai Konig,1997,M
Mitchel Weintraub,1997,M
Elizabeth Shriberg,2005,F
Zoltán Tüske,2014,M
Pavel Golik,2014,M
Ralf Schlüter,2014,M
Hermann Ney,2014,M
Andrew E. Rosenberg,2010,M
Björn Schuller,2007,M
Anton Batliner,2007,M
Dino Seppi,2007,M
Stefan Steidl,2007,M
Thurid Vogt,2007,M
Johannes Wagner,2007,M
Laurence Devillers,2007,M
Laurence Vidrascu,2007,M
Noam Amir,2007,M
Loic Kessous,2007,M
Vered Aharonson,2007,M
Stanley F. Chen,2003,M
Duncan Macho,2002,M
Laurent Mauuary,2002,M
Bernhard Noé,2002,M
Yan Cheng,2002,M
Douglas Ralph Ealey,2002,M
Denis Jouvet,2002,F
Holly Louise Kelleher,2002,F
David A. Pearce,2002,M
Fabien Saadoun,2002,M
Andreas Stolcke,2005,M
Luciana Ferrer,2005,F
Sachin S. Kajarekar,2005,M
Elizabeth Shriberg,2005,F
Anand Venkataraman,2005,M
Martin Wöllmer,2010,M
Angeliki Metallinou,2010,F
Florian Eyben,2010,M
Björn Schuller,2010,M
Shrikanth S. Narayanan,2010,M
Tuka Al Hanai,2018,F
Mohammad M. Ghassemi,2018,M
James Glass,2018,M
Alan W. Black,2005,M
Keiichi Tokuda,2005,M
Gordon Wichern,2019,M
Joseph M. Antognini,2019,M
Michael J. Flynn,2019,M
Licheng Zhu,2019,M
Emmett McQuinn,2019,M
Dwight Crow,2019,M
Ethan Manilow,2019,M
Jonathan Le Roux,2019,M
Alain Charles Louis Tritschler,1999,M
Ramesh A. Gopinath,1999,F
Antoine Raux,2006,M
Dan Bohus,2006,M
Brian Langner,2006,M
Alan W. Black,2006,M
Maxine Eskenazi,2006,F
Heiga Zen,2004,F
Keiichi Tokuda,2004,M
Takashi Sato,2004,M
Takao Kobayashi,2004,M
Tadashi Kitamura,2004,F
Takayoshi Yoshimura,2001,F
Keiichi Tokuda,2001,M
Takashi Sato,2001,M
Takao Kobayashi,2001,M
Tadashi Kitamura,2001,F
Sankaran Panchapagesan,2016,M
Ming Sun,2016,F
Aparna Khare,2016,F
Spyros Matsoukas,2016,M
Arindam Mandal,2016,F
Bjorn Hoffmeister,2016,M
Shiv Naga Prasad Vitaladevuni,2016,M
Lijuan Liu,2018,M
Zhen-Hua Ling,2018,F
Yuan Jiang,2018,M
Ming Zhou,2018,M
Li-Rong Dai,2018,M
Nicholas Cummins,2011,M
Julien Epps,2011,M
Michael Breakspear,2011,M
Roland Goecke,2011,M
Dong Yu,2011,M
Li Deng,2011,M
Heidi Christensen,2010,F
Jon Barker,2010,M
Ning Ma,2010,F
Phil D. Green,2010,M
Igor Szöke,2005,M
Petr Schwarz,2005,M
Pavel Matejka,2005,F
Lukas Burget,2005,M
Martin Karafiat,2005,F
Michal Fapso,2005,M
Jan Cernocký,2005,M
Esther Levin,1997,M
Roberto Pieraccini,1997,M
Jean-Luc Gauvain,2004,M
Abdelkhalek Messaoudi,2004,M
Holger Schwenk,2004,M
Shakti P. Rath,2013,M
Daniel Povey,2013,M
Karel Veselý,2013,M
Jan Cernocký,2013,M
Neville Ryant,2019,M
Kenneth Church,2019,M
Christopher Cieri,2019,M
Alejandrina Cristia,2019,F
Jun Du,2019,M
