Name,Year,Gender
E. Ann Yeh,1999,F
Kamesh Medepalli,2004,F
Praveen Kumare Gopalakrishnan,2004,M
David Famolari,2004,M
Tatsuya Kodama,2004,M
Ahmed Arafa,2017,M
Sennur Ulukus,2017,M
Nicholas F. Maxemchuk,1985,M
Duk-Yong Choi,2008,M
Pooya Monajemi,2008,F
Shinjae Kang,2008,M
J. Villasenor,2008,M
Chih-Chung Yang,1988,M
S. Hasegawa,1988,M
Stephen G. Larew,2013,M
Timothy S. Thomas,2013,M
Mark Cudak,2013,M
Amitava Ghosh,2013,M
Sameh Sorour,2010,M
Shahrokh Valaee,2010,F
Thierry Pollet,1994,M
Paul Marie Pierre Spruyt,1994,M
Marc Moeneclaey,1994,M
Mario Gerla,2000,F
Xiaoyan Hong,2000,M
Guangyu Pei,2000,F
Peng Cheng,2004,M
Chen-Nee Chuah,2004,F
Xin Liu,2004,F
Chen Xu,2012,F
Lingyang Song,2012,F
Zhu Han,2012,M
Dou Li,2012,F
Bingli Jiao,2012,F
Evsen Yanmaz,2011,M
Robert Kuschnig,2011,M
Christian Bettstetter,2011,F
Virgilio Rodriguez,2003,M
Lusheng Ji,1998,F
M. Scott Corson,1998,M
M.A. Khojastepour,2003,F
Ashutosh Sabharwal,2003,M
Behnaam Aazhang,2003,F
W. D. Grover,1987,M
Stefan Kaiser,1995,M
Yang Chen,2001,M
Mounir Hamdi,2001,M
Danny H. K. Tsang,2001,M
Thierry Pollet,1995,M
Marc Moeneclaey,1995,M
Zi-Qiang Zhu,2011,F
Jian Tang,2011,M
Sangarapillai Lambotharan,2011,M
Woon Hau Chin,2011,M
Zhong Fan,2011,M
B. Douglas Smith,1996,M
J.J. Garcia-Luna-Aceves,1996,F
C. J. Le Martret,2000,M
Georgios B. Giannakis,2000,M
Damla Turgut,2002,M
Souvik Das,2002,M
Ramez Elmasri,2002,M
Begumhan Turgut,2002,M
Dariush Divsalar,2000,M
Samuel J. Dolinar,2000,M
F. Pollara,2000,F
Hui Dai,2003,F
Richard Han,2003,M
V.K. Nguyen,2008,M
Jamie Evans,2008,F
Leonard J. Cimini,1996,M
Babak Daneshrad,1996,M
Nelson Sollenberger,1996,M
Vikram Chandrasekhar,2007,M
J. E. Andrews,2007,M
S.L. Ariyavisitakul,1992,M
L. K. Ding,2003,M
Rafik Goubran,2003,M
Wei Yu,2001,M
John M. Cioffi,2001,M
Mathew K. Samimi,2014,M
Theodore S. Rappaport,2014,M
Zheng Wang,1995,M
Jon Crowcroft,1995,M
Sriram Sridharan,2008,M
Amin Jafarian,2008,M
Sriram Vishwanath,2008,M
Syed A. Jafar,2008,M
W. Koch,1990,M
A. Baier,1990,M
Mounir Ghogho,2001,M
Avinash Swami,2001,M
Georgios B. Giannakis,2001,M
Ajay Mahimkar,2004,M
Theodore S. Rappaport,2004,M
Nikhil Shetty,2009,F
Shyam Parekh,2009,M
Jean Walrand,2009,M
G. Acosta,2004,M
Kathleen L. Tokuda,2004,F
Mary Ann Ingram,2004,F
Sudhir Leslie Tauro,2001,M
Christopher R. Palmer,2001,M
Georgos Siganos,2001,M
Michalis Faloutsos,2001,M
J. Nicholas Laneman,2002,M
Gregory W. Wornell,2002,M
Yan Sun,2016,F
Derrick Wing Kwan Ng,2016,M
Zhiguo Ding,2016,M
Robert Schober,2016,M
Huayan Guo,2019,M
Ying-Chang Liang,2019,F
Jie Chen,2019,M
Erik G. Larsson,2019,M
Preben Mogensen,2013,F
Kari Pajukoski,2013,F
Esa Tapani Tiirola,2013,F
Eeva Lahetkangas,2013,F
Jaakko Vihriala,2013,F
Seppo Ilmari Vesterinen,2013,M
Matti Einari Laitila,2013,F
Gilberto Berardinelli,2013,M
Gustavo Marques da Costa,2013,M
Luis A. Garcia,2013,F
Fernando Tavares,2013,M
Andrea Cattoni,2013,F
Mandar D. Kulkarni,2014,M
Sarabjot Singh,2014,M
Jeffrey G. Andrews,2014,M
Aleksandar Kavcic,2001,M
Chenye Wu,2011,F
Hamed Mohsenian-Rad,2011,M
Jianwei Huang,2011,M
Amy Wang,2011,F
Roberto Rojas-Cessa,2001,F
Eiji Oki,2001,F
H. Jonathan Chao,2001,M
Nabil Seddigh,1999,M
Biswajit Nandy,1999,M
Peter Pieda,1999,F
A.E. Eckberg,1989,F
Daniel T. Luan,1989,M
David M. Lucantoni,1989,M
Beatriz Soret,2014,F
Preben Mogensen,2014,F
Klaus I. Pedersen,2014,M
Mari Carmen Aguayo-Torres,2014,F
Xin Li,2000,F
H. Z. Huang,2000,M
Gerard J. Foschini,2000,M
Reinaldo A. Valenzuela,2000,F
Stefan Kaiser,2000,M
Arash Shahmansoori,2015,M
Gabriel Garcia,2015,M
Giuseppe Destino,2015,M
Gonzalo Seco-Granados,2015,M
Henk Wymeersch,2015,M
Alexandru-Ioan Pop,2017,M
Usman Raza,2017,M
Parag Kulkarni,2017,F
Mahesh Sooriyabandara,2017,M
Guangchi Zhang,2017,F
Qingqing Wu,2017,M
Miao Cui,2017,F
Rui Zhang,2017,M
Salama S. Ikki,2010,F
Sonia Aissa,2010,F
Fredrik Florén,2003,M
Ove Edfors,2003,M
B.-A. Molin,2003,F
Vinod M. Vokkarane,2002,M
Qiong Zhang,2002,M
Jason P. Jue,2002,M
Biao Chen,2002,F
Jörg Liebeherr,2001,F
Michel Nahas,2001,M
Rajiv Chakravorty,2002,M
J. Cartwright,2002,M
Iona Pratt,2002,F
Andreas Terzis,1999,M
Li Wang,1999,M
J. Ogawa,1999,M
Lei Zhang,1999,F
Leila Musavian,2007,F
Sonia Aissa,2007,F
Tianchu Zhao,2015,M
Sheng Zhou,2015,M
Xueying Guo,2015,M
Yun Zhao,2015,M
Zhisheng Niu,2015,M
Wang,2007,M
Zhao,2007,M
Xiao,2007,M
Zhou,2007,M
Hongyue Zhu,2002,M
Hui Zang,2002,F
Keyao Zhu,2002,F
Biswanath Mukherjee,2002,M
S. Jagannathan,2004,M
Hamid Aghajan,2004,M
Andrea Goldsmith,2004,F
E. Lee,1989,F
Seungkyu Ha,1989,F
Dariush Divsalar,2005,M
C. R. Jones,2005,M
Samuel J. Dolinar,2005,M
J. Thorpe,2005,M
Mikel Izal,2002,M
Javier Aracil,2002,M
Sally Seidel,1992,F
Theodore S. Rappaport,1992,M
Otto Julio Ahlert Pinno,2017,M
André Grégio,2017,M
Luis C. E. Bona,2017,M
Thomas Henderson,1998,M
Emile Sahouria,1998,F
Steven McCanne,1998,M
Randy H. Katz,1998,F
William Suski,2008,M
Michael A. Temple,2008,F
Michael J. Mendenhall,2008,M
Robert F. Mills,2008,M
Mike Ojo,2016,M
Davide Adami,2016,M
Stefano Giordano,2016,M
Ulf Gustavsson,2014,M
Cesar Sanchez-Perez,2014,M
Thomas Eriksson,2014,M
Fredrik Athley,2014,M
Giuseppe Durisi,2014,M
Per Landin,2014,M
Katharina Hausmair,2014,F
Christian Fager,2014,M
Lars Svensson,2014,M
Farooq Anjum,2003,F
M. Elaoud,2003,M
David Famolari,2003,M
A.K. Ghosh,2003,M
Ravichander Vaidyanathan,2003,M
Ashok Kumar Dutta,2003,M
P. C. Agrawal,2003,M
Takeshi Kodama,2003,M
Yasuhiro Katsube,2003,M
Wei-Ting Chang,2018,M
Ravi Tandon,2018,M
Jean Armstrong,1998,M
P. Ellen Grant,1998,M
G.J.R. Povey,1998,M
Sandrine Boumard,2003,M
Jayakrishnan Unnikrishnan,2007,M
Venugopal V. Veeravalli,2007,M
Moustafa Youssef,2010,M
Mohamed Amir Yosef,2010,M
Mohamed N. El-Derini,2010,M
Hou-Shin Chen,2007,F
Wen Gao,2007,M
David G. Daut,2007,M
Nihar B. Shah,2011,M
K. V. Rashmi,2011,M
P. Senthil Kumar,2011,M
R. Hsieh,2002,M
Aruna Seneviratne,2002,F
H. Soliman,2002,M
K. G. El-Malki,2002,M
Phongsak Prasithsangaree,2003,M
Prashant Krishnamurthy,2003,M
Kareem E. Baddour,2001,M
Norman C. Beaulieu,2001,M
Paul Petrus,1996,M
Jeffrey H. Reed,1996,M
Theodore S. Rappaport,1996,M
Ji-Ho Jang,2003,M
Kwang Y. Lee,2003,M
Yong-Hwan Lee,2003,M
Guru Thodime,2003,F
Vinod M. Vokkarane,2003,M
Jason P. Jue,2003,M
Yang Song,2007,M
Yuguang Fang,2007,M
Yanchao Zhang,2007,M
Jin Zhai,2019,M
Walid Saad,2019,M
Mehdi Bennis,2019,M
S. Baro,2000,M
G. Bauch,2000,M
A. Pavlic,2000,F
A. Semmler,2000,F
Hongfang Yu,2010,M
Chunming Qiao,2010,M
Vishal Anand,2010,M
Xin Liu,2010,F
Hao Di,2010,M
Gang Sun,2010,M
V. Jungnickel,2009,M
Lothar Thiele,2009,M
T. Wirth,2009,M
Thomas Haustein,2009,M
Stefan Schiffermüller,2009,M
Andreas Forck,2009,M
Sander Wahls,2009,M
Stephan Jaeckel,2009,M
S. Schubert,2009,M
H. Gabler,2009,M
Christoph Juchems,2009,M
F. Luhn,2009,M
R. Zavrtak,2009,M
Heinz Droste,2009,M
Gerhard Kadel,2009,M
Wolfgang S. Kreher,2009,M
James Mueller,2009,M
W. Stoermer,2009,M
G. Wannemacher,2009,M
A. Klemm,2001,F
Christoph Lindemann,2001,M
Marco Lohmann,2001,M
Balagangadhar G. Bathula,2009,M
Jaafar M. H. Elmirghani,2009,F
Rui Dinis,2004,M
David Falconer,2004,M
Chan F. Lam,2004,M
Maryam Sabbaghian,2004,F
Jae Nyoung Kim,2004,M
Qi Zhang,2004,M
Dharma P. Agrawal,2004,M
Sanjit K. Kaul,2011,M
Roy D. Yates,2011,M
