Name,Year
Yoginder S. Dandass,2012
Benjamin A. Carreras,2003
Vincent M. Lynch,2003
David E. Newman,2003
Ian Dobson,2003
Michael J. Gallivan,1999
Wonseok Oh,1999
Sumedh Mungee,1999
N. Surendran,1999
Daniel Schmidt,1999
Pierre A. Balthazard,2004
Robert A. Cooke,2004
Caroline Haythornthwaite,2009
Donghee Yvette Wohn,2011
Cliff Lampe,2011
Rick Wash,2011
Nicole B. Ellison,2011
Jessica Vitak,2011
Gerrit Lahrmann,2011
Frederik Marx,2011
Robert Winter,2011
Felix Wortmann,2011
Ping Zhang,2001
Gisela M. von Dran,2001
Hans Jochen Scholl,2005
Brian Marsh,1994
Fred Douglis,1994
Parameshwaran Krishnan,1994
Oded Nov,2008
Chen Ye,2008
Paul Hawking,2004
Alfred Stein,2004
Stephen P. Foster,2004
Miles McQueen,2006
Wayne F. Boyer,2006
Mark C. Flynn,2006
George A. Beitel,2006
T.K. Buennemeyer,2008
T.M. Nelson,2008
L.M. Clagett,2008
J.P. Dunning,2008
Randy Marchany,2008
Joseph G. Tront,2008
Michael LeMay,2007
George Gross,2007
Carl A. Gunter,2007
Sanjam Garg,2007
Huu Tran,2005
Michael Hitchens,2005
Vijay Varadharajan,2005
Paul A. Watters,2005
Peter Cramton,2003
Batya Friedman,2002
Daniel C. Howe,2002
Edward W. Felten,2002
Nicola Gibson,1999
Christopher Holland,1999
Ben Light,1999
Ali Sunyaev,2010
Dmitry Chornyi,2010
Christian Mauro,2010
Helmut Krcmar,2010
Jacky Swan,2000
Sue Newell,2000
Mary M. Robertson,2000
Bruce M. Maggs,1995
Lesley R. Matheson,1995
R. Endre Tarjan,1995
Fredrik J. Bjorck,2004
Dai-Yon Cho,2007
Daeseon Choi,2007
Hyoung-Yong Lee,2007
Jae-Nam Lee,2000
Minh Huynh,2000
Kwok Ron Chi-wai,2000
Shih-Ming Pi,2000
Laura Connors,2011
Susan M. Mudambi,2011
David Schuff,2011
G. Benefield,2008
Grigoris Antoniou,1999
David Billington,1999
Michael J. Maher,1999
Zhifang Wang,2012
Anna Scaglione,2012
Robert Thomas,2012
Bieganski,1994
Riedl,1994
Cartis,1994
Retzel,1994
Kate L. Morrow,2012
Erich Heine,2012
Katherine Rogers,2012
Rakesh B. Bobba,2012
Thomas J. Overbye,2012
Ping Zhang,2006
Na Li,2006
Heshan Sun,2006
A. J. G. Silvius,2007
A. Conklin,2006
A.P.J. Jarczyk,1992
P. Loffler,1992
F.M. Shipmann,1992
M. Bloch,1997
Arie Segev,1997
Benjamin A. Carreras,2001
Vincent M. Lynch,2001
M. L. Sachtjen,2001
Ian Dobson,2001
David E. Newman,2001
Ran Cheng,2005
Julita Vassileva,2005
N. Hristova,2004
Gregory M. P. O'Hare,2004
Alireza Abbasi,2011
Jörn Altmann,2011
Anna Horlacher,2016
Thomas Hess,2016
Christopher Holland,1999
Ben Light,1999
Keng Siau,1998
Matti Rossi,1998
Galles Ml,1994
E. Williams,1994
Na Shi,2010
Matthew K. O. Lee,2010
Christy M. K. Cheung,2010
Huaping Chen,2010
Valacich,1994
Mennecke,1994
Wachter,1994
Wheeler,1994
Thomas A. Horan,2006
Tarun Abhichandani,2006
R. Rayalu,2006
Paul Grünbacher,2001
Robert O. Briggs,2001
Florian Hawlitschek,2016
Timm Teubner,2016
Henner Gimpel,2016
John R. Harrald,2007
Theresa Jefferson,2007
David Haussler,1993
Anders Krogh,1993
I. S Mian,1993
Kimmen Sjölander,1993
Thomas J. Overbye,2000
Joerg Weber,2000
Ozalp Babaoglu,1995
Renzo Davoli,1995
L.-A. Giachini,1995
M. Gray Baker,1995
Åsa Lindström,2006
A. Conklin,2004
Glenn Dietrich,2004
Diane B. Walz,2004
Maryati Mohd. Yusof,2006
Richard J. Paul,2006
Lampros K. Stergioulas,2006
Yoon Cheong Cho,2002
Il Im,2002
Roxanne Hiltz,2002
Jerry Fjermestad,2002
Xiang-Yang Li,2002
Peng-Jun Wan,2002
Yu Wang,2002
Ophir Frieder,2002
Mathias Weske,1998
Daniel D. Suthers,2001
Johannes Hummel,2002
Ulrike Lechner,2002
Helena Karasti,2004
Karen S. Baker,2004
Zhifang Wang,2008
R. C. Thomas,2008
Anna Scaglione,2008
P. Chapman,1999
S. Selvarajah,1999
Jane Webster,1999
Suprateek Sarker,2002
Sundeep Sahay,2002
Shi-Jie Deng,2000
S. De Haes,2006
W. Van Grembergen,2006
David Tilson,2012
Carsten Sørensen,2012
Kalle Lyytinen,2012
Sakakibara,1994
Brown,1994
Underwood,1994
Mian,1994
Haussler,1994
Thomas Erickson,2000
F. Tanudjaja,2002
Lik Mui,2002
Alea M. Fairchild,2002
Johann Füller,2004
Michael Bartl,2004
Holger Ernst,2004
Hans Mühlbacher,2004
Youngjin Yoo,2008
Kalle Lyytinen,2008
Richard J. Boland,2008
Jörg M. Haake,2004
Till Schümmer,2004
Anja Haake,2004
Mohamed Bourimi,2004
Britta Landgraf,2004
Marie-Claude Boudreau,2003
Ralf Klischewski,2006
Hans Jochen Scholl,2006
H.K. Edwards,2003
Varadharajan Sridhar,2003
B.N. Chun,2004
Andy Bavier,2004
Alvaro Reischak-Oliveira,2015
Mario Campolargo,2015
David Fisher,1999
Howard F. Lipson,1999
Randy Marchany,2002
Joseph G. Tront,2002
V. Ramesh,2002
Alan R. Dennis,2002
Nancy W. Coppola,2001
Starr Roxanne Hiltz,2001
Naomi G. Rotter,2001
Marina Santini,2007
Brad Quinn Post,1992
Jim R. Oliver,1996
Koen Kok,2008
Zsófia Derzsi,2008
M.P.F. Hommelberg,2008
C.J. Warmer,2008
Rene Kamphuis,2008
Hans Akkermans,2008
Thomas F. Gattiker,2000
D.L. Goodhue,2000
N. Vidgren,2013
Keijo Haataja,2013
J. L. Patino-Andres,2013
J. J. Ramirez-Sanchis,2013
Paavo Toivanen,2013
M. Khalifa,2005
Ning Shen,2005
Susan C. Herring,2007
John C. Paolillo,2007
Irene Ramos-Vielba,2007
Inna Kouper,2007
Edward L. Wright,2007
Sharon Stoerger,2007
Lois Ann Scheidt,2007
Benton C. Clark,2007
Dmitri Roussinov,2001
Kevin Crowston,2001
Michael S. Nilan,2001
Barbara H. Kwasnik,2001
Jin Cai,2001
Xiao-Yong Liu,2001
Dale E. Martin,1996
T.J. McBrayer,1996
Philip A. Wilsey,1996
Michael B. Twidale,2005
David M. Nichols,2005
Tim Finin,2005
James Mayfield,2005
Amit Joshi,2005
R. Scott Cost,2005
Clayton Fink,2005
Louis A. Lefebvre,2006
E. Lefebvre,2006
Ygal Bendavid,2006
Samuel Fosso Wamba,2006
Harold Boeck,2006
Lucy Ellen Lwakatare,2016
Teemu Karvonen,2016
Tanja Sauvola,2016
Pasi Kuvaja,2016
Helena Holmström Olsson,2016
Jan Bosch,2016
Markku Oivo,2016
Caitlin Lustig,2015
Bonnie Nardi,2015
Gail E. Kaiser,1990
N.S. Barghouti,1990
M.H. Sokolsky,1990
Himanshu Khurana,2010
Rakesh B. Bobba,2010
Tim Yardley,2010
Pooja Agarwal,2010
Erich Heine,2010
D.A. Morand,2003
Rosalie J. Ocker,2003
L. Christian Schaupp,2006
Weiguo Fan,2006
F. Belanger,2006
Farnam Jahanian,1988
Richard W. Lee,1988
Aloysius K. Mok,1988
Ivan Stojmenovic,2001
M. Seddigh,2001
Joviša Žunić,2001
Atreyi Kankanhalli,2004
Benjamin R. Tan,2004
David P. Tegarden,1992
Steven D. Sheetz,1992
David E. Monarchi,1992
Juhani Iivari,1999
Henry Linger,1999
Dickson K.W. Chiu,2003
S.-F. Cheung,2003
Sven Till,2003
Rainer Alt,2004
Thomas Puschmann,2004
Ping Zhang,2000
Ruth V. Small,2000
Gisela M. von Dran,2000
S. Barcellos,2000
Chee Wei Phang,2005
Yan Li,2005
Juliana Sutanto,2005
Atreyi Kankanhalli,2005
W. Van Grembergen,2002
Isabelle Amelinckx,2002
Kai Reimers,2002
Stephen McArthur,2004
Euan Davidson,2004
John A. Hossack,2004
J.R. McDonald,2004
Lan Cao,2004
Kannan Mohan,2004
Peng Xu,2004
Balasubramaniam Ramesh,2004
Robert O. Briggs,2002
Paul Gruenbacher,2002
Vivek Venkatesh,2014
Anne-Marie Croteau,2014
Jihan Rabah,2014
Calvin M. L. Chan,2004
M. Bhandar,2004
Lih-Bin Oh,2004
Hock-Chuan Chan,2004
Grace A. Lewis,2013
Hyung-jick Lee,2004
Jim Alves-Foss,2004
Scott James Harrison,2004
Mark E. Ginsburg,1999
Ajit Kambil,1999
Akemi Takeoka Chatfield,2013
Uuf Brajawidagda,2013
Carlos Jensen,2011
Scott D. King,2011
Victor Kuechler,2011
Christopher P. Holland,1998
Andy Lockett,1998
Ian Dobson,2005
Benjamin A. Carreras,2005
David E. Newman,2005
Dieter Haban,1988
W. Weigel,1988
Yamini Upadrashta,2005
Julita Vassileva,2005
Winfried K. Grassmann,2005
Robert E. Crossler,2010
Borhan M. Sanandaji,2014
He Hao,2014
Kameshwar Poolla,2014
Jie Meng,2002
S.-Y. Su,2002
Hak-Keung Lam,2002
Abdelsalam Helal,2002
Sanjay Sood,2008
