Name,Year
L. J. Porter,1997
Warren P. Seering,1997
D. H. McMahon,1990
J. Karl Hedrick,1990
Steven E Shladover,1990
Fred R. Hansen,1989
Gene F. Franklin,1989
Robert L. Kosut,1989
Makoto Yokoyama,2001
J.K. Hedrick,2001
S. Toyama,2001
Wie,1991
Bernstein,1991
Richard D. Braatz,1993
Peter C. Young,1993
John Doyle,1993
Manfred Morari,1993
Carl Kempf,1992
William C. Messner,1992
Masayoshi Tomizuka,1992
Roberto Horowitz,1992
Steven X. Ding,2001
Zhong Mai-ying,2001
Tang Bing-yong,2001
Peng Zhang,2001
Vladimir Dobrokhodov,2006
Isaac Kaminer,2006
Kevin D. Jones,2006
Reza Ghabcheloo,2006
M. Wicks,1997
Raymond A. DeCarlo,1997
Stéphane Lafortune,2001
Demosthenis Teneketzis,2001
Meera Sampath,2001
Raja Sengupta,2001
K. Sinnamohideen,2001
D. Croft,2000
G. M. Shedd,2000
Santosh Devasia,2000
S. Mudchanatongsuk,2008
James A. Primbs,2008
Wing Hung Wong,2008
S.J. Schroeck,1999
William C. Messner,1999
Andrei M. Shkel,1999
Roberto Horowitz,1999
Ashwin A. Seshia,1999
Sungsu Park,1999
Roger T. Howe,1999
Paolo Falcone,2008
Francesco Borrelli,2008
H. Eric Tseng,2008
Jahan Asgari,2008
Davor Hrovat,2008
Luca Zaccarian,2005
Dragan Nesic,2005
Andrew R. Teel,2005
Subhabrata Ganguli,2002
Andres Marcos,2002
Gary J. Balas,2002
Meng Ji,2006
Abubakr Muhammad,2006
Magnus Egerstedt,2006
Andre Sharon,1984
David E. Hardt,1984
Tsu-Chin Tsao,1988
Masayoshi Tomizuka,1988
Juan Escareno,2006
S. Salazar-Cruz,2006
Rogelio Lozano,2006
Martin Andreasson,2014
Dimos V. Dimarogonas,2014
Henrik Sandberg,2014
Karl Henrik Johansson,2014
Justin Clark,2005
Rafael Fierro,2005
Satyajit Patwardhan,1997
Han-Shue Tan,1997
Jürgen Guldner,1997
M. A. Leigui de Oliveira,1997
Jose C. Geromel,1997
David M. Bevly,2001
R. Sheridan,2001
J.C. Gerdes,2001
Alexander Stotsky,1997
J. Karl Hedrick,1997
P.P. Yip,1997
Gill A. Pratt,2004
P. Willisson,2004
