Name,Year,Gender
J. Gu,2007,M
Dhaivat Joshi,2017,M
Abhinav Tripathi,2017,M
Rajeev Sharma,2017,F
Ram Bilas Pachori,2017,F
Li Kang,2018,F
Jiu Bo,2018,M
Liu Hongwei,2018,M
Liang Siyuan,2018,M
Kakuro Amasaka,2006,M
P. Jayashree,2015,M
F. Infant Princy,2015,M
Yao Hongyu,2004,M
Li Bicheng,2004,F
Cao Wen,2004,M
Fangwen Fu,2004,F
Xinggang Lin,2004,F
Lidong Xu,2004,M
Arunkumar Thangavelu,2007,M
K. Bhuvaneswari,2007,M
K. S. Kumar,2007,M
K. SenthilKumar,2007,M
S. N. Sivanandam,2007,M
Jin Wang,2013,M
Musheer Ahmad,2014,M
Hammad Haleem,2014,M
Parvez Khan,2014,M
Kunal Gupta,2015,M
Baseem Khan,2015,M
Samina E. Mubeen,2015,F
Yoshiaki Sonoda,1998,F
T. Ogata,1998,M
Vladislav Skorpil,2006,M
Jiri Stastny,2006,M
M K Arti,2012,M
Ranjan K. Mallik,2012,M
Robert Schober,2012,M
Peimin Chen,2000,M
Premnath Dubey,2006,M
Peng Suo,2008,M
Yan-Jiang Wang,2008,M
A. Vázquez Reina,2006,F
R. J. López Sastre,2006,M
S. Lafuente Arroyo,2006,M
P. Gil Jimenez,2006,M
I-Kang Fu,2007,M
Wern-Ho Sheen,2007,M
Fang-Ching Ren,2007,M
Anupama Paul,2016,M
Rohan Kumar Das,2016,M
Rohit A. Sinha,2016,F
S. R. Mahadeva Prasanna,2016,F
Partha Pratim Ray,2016,M
Sneha Agarwal,2016,F
Nitin Kumar Singh,2019,M
Saurabh Chaturvedi,2019,M
Shamim Akhter,2019,F
Amulya Anurag,2020,F
Rahul Priyadarshi,2020,M
Amit Goel,2020,M
Bharat Gupta,2020,M
Qi Guoqing,2004,M
Hua Xu,2004,M
Hui Zheng,2004,M
Hee Il Hahn,2002,M
Joung Koo Joung,2002,M
B. Smitha,2007,F
K.A. Navas,2007,M
Ishwari Tank,2015,F
Shrikant Balasaheb Mali,2015,M
Steven Lawrence Fernandes,2013,M
G. Josemin Bala,2013,F
Mohd Shahnawaz Khan,2012,M
Ekram Khan,2012,M
Z. A. Abbasi,2012,F
Kazuhiro Nakadai,2012,M
Gokhan Ince,2012,M
Keisuke Nakamura,2012,F
Hirofumi Nakajima,2012,M
Biswajyoti Borah,2007,F
Debnath Bhattacharyya,2007,F
Aju Sony,2011,F
Kavya Ajith,2011,M
Keerthi Thomas,2011,F
Tijo Thomas,2011,M
P. L. Deepa,2011,F
Mohammad Najjarzadeh,2008,M
Ahmad Ayatollahi,2008,M
P. Senthil Kumar,2008,M
R. Arumuganathan,2008,M
Kandasamy Sivakumar,2008,M
C. Vimal,2008,M
Wei Du,2000,M
Hua Li,2000,F
Kok Pin Ng,2007,M
Fang-ying Tsai,2007,F
Lihui Chen,2007,F
Kiat Sern Goh,2007,M
Fang-ying Tsai,2007,F
Kap Luk Chan,2007,M
Shiqian Wu,2005,M
Weisi Lin,2005,F
Lijun Jian,2005,F
Wei Xiong,2005,M
Li-Hao Chen,2005,F
Yuan Li,2005,M
Liwei Liang,2005,F
Zhaopin Su,2005,F
Jian-Guo Jiang,2005,M
Jilt Sebastian,2016,M
Hema A. Murthy,2016,F
Bayu Sandika,2016,F
