Name,Year,Gender
Thomas M. Wolbank,2011,M
Phop Chancharoensook,2002,F
Md. Mustafizur Rahman,2002,M
Hua Bai,2008,M
Chris Mi,2008,F
Chongwu Wang,2008,M
Sonya Gargies,2008,F
Lazhar Ben-Brahim,1998,M
Zhe Chen,2003,M
Y. Hu,2003,M
Monia Youssef,2004,F
Praveen Jain,2004,M
Alfredo Martins,1995,M
Cristina Freire,1995,F
Antonio S. Araujo,1995,M
Xiaohui Qu,2007,F
Siu Kei Wong,2007,F
Chi K. Tse,2007,M
Taro Takiguchi,2013,M
Hirotaka Koizumi,2013,M
Laércio Gomes,2007,M
Aníbal Costa,2007,M
Joao Barros,2007,M
P. Lima,2007,F
Anandarup Das,2011,M
Hamed Nademi,2011,M
Lars Norum,2011,M
Georgios Konstantinou,2011,M
Mihai Ciobotaru,2011,M
Vassilios G. Agelidis,2011,M
Hani Vahedi,2015,F
Hadi Y. Kanaan,2015,F
Kamal Al-Haddad,2015,M
M. V. Bueno-Delgado,2009,M
Javier Vales-Alonso,2009,M
F.J. Gonzalez-Castao,2009,M
B.H. Ng,1988,M
M.F. Rahmant,1988,M
Teck-Seng Low,1988,M
K. E. Lim,1988,M
Thierry Meynard,1995,M
Henri Foch,1995,M
Pablo Pereira,2014,F
Jens Eliasson,2014,M
Jerker Delsing,2014,M
Gazi Islam,2011,M
Ahmed Al-Durra,2011,M
S. M. Muyeen,2011,M
Junji Tamura,2011,F
Christoph Legat,2013,M
Jens Folmer,2013,M
Birgit Vogel-Heuser,2013,M
Hisham Mahmood,2012,M
Dennis Michaelson,2012,M
Jin Jiang,2012,M
J. Sun,1994,M
I. Grotstollen,1994,F
Francisco D. Freijedo,2008,M
Jesus Doval-Gandoy,2008,M
O. Gonzalez Lopez,2008,M
J. Cabaleiro,2008,M
M. Ortuzar,2003,M
J.M. Dixon,2003,M
Juan Moreno,2003,M
Kazuhiro Kosuge,1994,M
Hiroyuki Yoshida,1994,F
D. Taguchi,1994,M
Toshio Fukuda,1994,M
Kazuo Hariki,1994,M
Kiyoshi Kanitani,1994,F
Masahiko Sakai,1994,M
Naif B. Almutairi,2001,M
Mo-Yuen Chow,2001,M
Y. Tipsuwan,2001,M
A. O. Martins Luiz,2010,M
L. C. Padua Flavio,2010,M
E. M. Almeida Paulo,2010,F
Christopher W. Hamilton,2010,M
Gustavo Gamboa,2010,M
John Elmes,2010,M
Ross Kerley,2010,M
Andres Hugo Arias,2010,M
Michael S. Pepper,2010,M
John Paul Shen,2010,M
Issa Batarseh,2010,F
A. de Medeiros Torres,1998,M
Fernando L. M. Antunes,1998,M
F.S. Dos Reis,1998,M
F.A.L. Jowder,2007,M
Luca Leonardi,2018,M
Filippo Battaglia,2018,M
Gaetano Patti,2018,F
Lucia Lo Bello,2018,F
Mir Nahidul Ambia,2011,F
Ahmed Al-Durra,2011,M
S. M. Muyeen,2011,M
Youssef Ounejjar,2008,M
Kamal Al-Haddad,2008,M
Qing-Chang Zhong,2012,M
Wen-Long Ming,2012,M
Xin Cao,2012,M
Miroslav Krstic,2012,M
Minwon Park,2004,M
In-Keun Yu,2004,M
J. M. Vizan Garcia,2009,M
A.J. Calleja,2009,F
Emilio López Corominas,2009,M
D. Gacio,2009,M
Javier Ribas,2009,M
Zhong-Ming Ye,2008,F
F. Greenfeld,2008,M
Zhixiang Liang,2008,F
Antoni Grau,2017,M
Marina Indri,2017,F
Lucia Lo Bello,2017,F
Thilo Sauter,2017,M
A. Drolia,2003,F
P. Jose,2003,M
Ned Mohan,2003,M
K. Mino,2003,M
S. Herold,2003,M
Johann W. Kolar,2003,M
Tzyy Choou Wu,1995,F
J.-C. Hung,1995,M
Tongxi Yu,1995,F
David G. Dorrell,2012,M
G.R. Kamath,2001,M
B. Runyan,2001,M
R. Wood,2001,M
Marija Seder,2005,F
Karel Macek,2005,M
Ivan Petrović,2005,M
S.H. Choung,2008,M
Alexis Kwasinski,2008,M
Alexander Anthon,2014,M
Juan C. Hernandez,2014,M
Zhe Zhang,2014,M
Michael A. E. Andersen,2014,F
Radhakrishnan Natarajan,2016,M
Pouria Zand,2016,F
Majid Nabi,2016,M
J.D. van Wyk,2003,M
Fred C. Lee,2003,M
Dushan Boroyevich,2003,M
Zhenxian Liang,2003,M
Kaiwei Yao,2003,M
Yuta Takahashi,1999,M
S. Ogawa,1999,M
Shinobu Machida,1999,F
James W. Langston,2012,M
Karl Schoder,2012,M
Mischa Steurer,2012,M
Omar Faruque,2012,M
J.F. Hauer,2012,M
Ferenc Bogdan,2012,M
Richard J. Bravo,2012,M
Barry Mather,2012,M
Farid Katiraei,2012,F
Hani Vahedi,2013,F
Salem Rahmani,2013,M
Kamal Al-Haddad,2013,M
Cesar E. Silva,2010,F
Juan I. Yuz,2010,M
Larisa Dunai,2010,F
Guillermo Peris Fajarnes,2010,M
Víctor Manuel Santiago Praderas,2010,M
Beatriz Garcia,2010,F
Ismael Lengua Lengua,2010,F
Panos Kotsampopoulos,2012,M
Vasilis Kleftakis,2012,M
George M. Messinis,2012,M
Nikos Hatziargyriou,2012,M
Pavels Suskis,2013,M
Ilya Galkin,2013,M
Keishi Sakamoto,2001,M
Y. Iwaji,2001,F
