Name,Year,Gender
Tang Bing-yong,2001,F
Peng Zhang,2001,M
Vladimir Dobrokhodov,2006,M
Isaac Kaminer,2006,M
Kevin D. Jones,2006,M
Reza Ghabcheloo,2006,F
M. Wicks,1997,M
Raymond A. DeCarlo,1997,M
Stéphane Lafortune,2001,F
Demosthenis Teneketzis,2001,M
Meera Sampath,2001,F
Raja Sengupta,2001,F
K. Sinnamohideen,2001,M
D. Croft,2000,M
G. M. Shedd,2000,M
Santosh Devasia,2000,F
S. Mudchanatongsuk,2008,M
James A. Primbs,2008,M
Wing Hung Wong,2008,M
S.J. Schroeck,1999,M
William C. Messner,1999,M
Andrei M. Shkel,1999,M
Roberto Horowitz,1999,M
Ashwin A. Seshia,1999,F
Sungsu Park,1999,M
Roger T. Howe,1999,M
Paolo Falcone,2008,M
Francesco Borrelli,2008,M
H. Eric Tseng,2008,M
Jahan Asgari,2008,M
Davor Hrovat,2008,M
Luca Zaccarian,2005,M
Dragan Nesic,2005,M
Andrew R. Teel,2005,M
Subhabrata Ganguli,2002,F
Andres Marcos,2002,M
Gary J. Balas,2002,M
Meng Ji,2006,M
Abubakr Muhammad,2006,M
Magnus Egerstedt,2006,M
Andre Sharon,1984,M
David E. Hardt,1984,M
Tsu-Chin Tsao,1988,M
Masayoshi Tomizuka,1988,F
Juan Escareno,2006,M
S. Salazar-Cruz,2006,M
Rogelio Lozano,2006,M
Martin Andreasson,2014,M
Dimos V. Dimarogonas,2014,M
Henrik Sandberg,2014,M
Karl Henrik Johansson,2014,M
Justin Clark,2005,M
Rafael Fierro,2005,M
Satyajit Patwardhan,1997,M
Han-Shue Tan,1997,M
Jürgen Guldner,1997,M
M. A. Leigui de Oliveira,1997,F
Jose C. Geromel,1997,M
David M. Bevly,2001,M
R. Sheridan,2001,M
J.C. Gerdes,2001,M
Alexander Stotsky,1997,M
J. Karl Hedrick,1997,M
P.P. Yip,1997,M
Gill A. Pratt,2004,M
P. Willisson,2004,M
Clive Bolton,2004,M
A. Hofman,2004,M
Hosam K. Fathy,2008,M
Dongsoo Kang,2008,M
Jürgen Stein,2008,M
P. Tondel,2005,M
Tor Arne Johansen,2005,M
Lei Fang,2005,F
Panos J. Antsaklis,2005,M
Anders Rantzer,2006,M
Sandra M. Lynch,2002,F
B. Wayne Bequette,2002,M
Feng-Li Lian,2001,F
James Moyne,2001,M
Dawn M. Tilbury,2001,M
Alessandro Bemporad,1999,M
D. Mignone,1999,F
Manfred Morari,1999,M
R. Krtolica,1991,F
Umit Ozguner,1991,M
H. Chan,1991,M
H. Goktas,1991,M
J.R. Winkelman,1991,M
Michael Kenneth Liubakka,1991,M
Takashi Taniguchi,1999,M
Kenji Tanaka,1999,F
Kazuo Yamafuji,1999,M
Haiyan Wang,1999,M
David M. Bevly,2000,M
J.C. Gerdes,2000,M
C.T. Wilson,2000,M
Gengsheng Zhang,2000,M
Carlos Canudas de Wit,1993,M
Henrik Olsson,1993,M
Karl Johan Åström,1993,M
P. Lischinsky,1993,F
Rajesh Rajamani,1993,M
J. Karl Hedrick,1993,M
Chan-Chiao Lin,2001,F
Junmo Kang,2001,M
Jessy W. Grizzle,2001,F
Huei Peng,2001,M
Veysel Gazi,2002,M
Kevin M. Passino,2002,M
Eilyan Bitar,2011,F
Ram Rajagopal,2011,M
Pramod P. Khargonekar,2011,M
Kameshwar Poolla,2011,F
Arthur Richards,2006,M
Jonathan P. How,2006,M
R.A. Bartlett,2000,F
Andreas Wächter,2000,M
Lorenz T. Biegler,2000,M
Raffaello D'Andrea,1998,M
Huei Peng,1990,M
Masayoshi Tomizuka,1990,F
Wei Ren,2004,M
Randal W. Beard,2004,M
Francesco Borrelli,2006,M
Dharmashankar Subramanian,2006,M
Arvind U. Raghunathan,2006,M
Lorenz T. Biegler,2006,M
Ravi N. Banavar,1991,M
Jason L. Speyer,1991,M
James C. Spall,1987,M
Haitham Hindi,2004,F
Dongjun Lee,2006,M
Mark W. Spong,2006,M
Iakovos Papadimitriou,2003,M
Masayoshi Tomizuka,2003,F
Lorenzo Serrao,2008,M
Giorgio Rizzoni,2008,M
Petros G. Voulgaris,2001,M
Carl N. Nett,1988,M
Clas A. Jacobson,1988,M
A. T. Miller,1988,F
Danbing Seto,1998,M
Bruce H. Krogh,1998,M
Lui Sha,1998,F
Alongkrit Chutinan,1998,M
Meng Ji,2007,M
M. Egersted,2007,M
Yudong Ma,2011,F
Garrett Anderson,2011,M
Francesco Borrelli,2011,M
Borhan M. Sanandaji,2011,M
Tyrone L. Vincent,2011,M
Michael B. Wakin,2011,M
Armin Rahmani,2006,F
Mehran Mesbahi,2006,M
Chengyu Cao,2006,M
Naira Hovakimyan,2006,F
Bhat,1989,M
McAvoy,1989,M
A. J. Bartlett,1987,F
Christopher V. Hollot,1987,M
Huang Lin,1987,M
James B. Rawlings,1999,M
Michael G. Safonov,1988,M
R.Y. Chiang,1988,F
Robert Daily,2008,M
David M. Bevly,2008,M
Qiang Ling,2003,F
Michael D. Lemmon,2003,M
Raymond C. Hall,1989,M
Dale E. Seborg,1989,F
Ming-Tzu Ho,1997,M
