Name,Year
Marie-Theres Boll,2006
Herbert Werner,2006
Yilin Mo,2008
Bruno Sinopoli,2008
Tolga Eren,2003
W. Whiteley,2003
A.S. Morse,2003
Peter N. Belhumeur,2003
Brian J. Anderson,2003
Elmer G. Gilbert,1994
Ilya Kolmanovsky,1994
Kok Tin Tan,1994
Paul Van Dooren,1978
George C. Verghese,1978
Thomas Kailath,1978
Yoshio Ebihara,2011
Dimitri Peaucelle,2011
Denis Arzelier,2011
Savvas G. Loizou,2004
Kostas J. Kyriakopoulos,2004
Javad Ghaderi,2010
R. Srikant,2010
D.H. van Hessem,2002
OH Okko Bosgra,2002
Anthony M. Bloch,1994
Sergey V. Drakunov,1994
Ying He,2004
K. H. Chong,2004
Jeong Hee Jeon,2011
Sertac Karaman,2011
Emilio Frazzoli,2011
Y. H. Zheng,1985
J.Y.S. Luh,1985
Peter R. Young,1990
John Doyle,1990
Alessandro Giua,2001
Carla Seatzu,2001
C. V. M. van der Mee,2001
Payam Naghshtabrizi,2006
Joao P. Hespanha,2006
Andrew R. Teel,2006
Joao P. Hespanha,2000
Maria Prandini,2000
S. Shankar Sastry,2000
Seiji Kawamura,1985
Fumio Miyazaki,1985
Suguru Arimoto,1985
Guoqiang Mao,2007
Samuel Picton Drake,2007
Brian J. Anderson,2007
Andrew R. Teel,1998
Dragan Nesic,1998
Petar V. Kokotovic,1998
William B. Dunbar,2004
Robin M. Murray,2004
Chunlei Rui,1997
Mahmut Reyhanoglu,1997
I.V. Kolmanovsky,1997
S. Cho,1997
N.H. McClamroch,1997
Pavlos Ioannou,1993
Z. Z. Xu,1993
Steven E Eckert,1993
D. Clemons,1993
T. Sieja,1993
Qiuyu Peng,2014
Steven H. Low,2014
Roberto Tron,2012
Bijan Afsari,2012
René Vidal,2012
Xinzhou Wu,2005
R. Srikant,2005
Andrea Garulli,2005
Antonio Giannitrapani,2005
A. Rossi,2005
Antonio Vicino,2005
Christopher V. Hollot,2001
Yossi Chait,2001
Dan Henriksson,2005
Anton Cervin,2005
Tobias Geyer,2005
Georgios Papafotiou,2005
Manfred Morari,2005
Pierre Riedinger,1999
Frédéric Kratz,1999
Claude Iung,1999
C. Zanne,1999
Sean Weerakkody,2015
Bruno Sinopoli,2015
Petr Stluka,2011
Datta N. Godbole,2011
Tariq Samad,2011
