Name,Year,Gender
Emilio Frazzoli,2004,M
Francesco Bullo,2004,M
Prabir Barooah,2005,M
Joao P. Hespanha,2005,F
O.C. Imer,2005,M
Tamer Basar,2005,M
Arthur J. Krener,2009,M
Kayo Ide,2009,F
Demetri Spanos,2004,M
Richard M. Murray,2004,M
Anton Cervin,2008,M
Toivo Henningsson,2008,M
Tichakorn Wongpiromsarn,2009,M
Ufuk Topcu,2009,M
Richard M. Murray,2009,M
N.M. Wereley,1990,M
Steven R. Hall,1990,M
Markus Sköldstam,2007,M
Knut Åkesson,2007,M
Martin Fabian,2007,M
David A. Castanon,1997,M
Sertac Karaman,2008,M
Ricardo G. Sanfelice,2008,M
Emilio Frazzoli,2008,M
Alberto Speranzon,2006,M
Carlo Fischione,2006,M
K. E. Johansson,2006,M
Zhifang Wang,2010,M
Anna Scaglione,2010,F
Robert Thomas,2010,M
R. Vidal,2002,M
Alessandro Chiuso,2002,M
Stefano Soatto,2002,M
Christoforos N. Hadjicostis,2002,M
R. Touri,2002,M
Michael C. Caramanis,2009,M
Justin A. Foster,2009,M
D.A. Recker,1991,M
Petar V. Kokotovic,1991,M
D. Rhode,1991,M
Jim Winkelman,1991,M
R. Seliger,1991,M
Paul M. Frank,1991,M
Alejandro D. Dominguez-Garcia,2012,M
Stanton T. Cady,2012,M
Christoforos N. Hadjicostis,2012,M
Timothy H. Chung,2004,M
V. K. Gupta,2004,M
J.W. Burdick,2004,M
Robin M. Murray,2004,M
A. Nedic,2008,F
A. Olshevsky,2008,F
A. Ozdaglar,2008,F
J.N. Tsitsiklis,2008,M
Nikhil Chopra,2006,M
Mark W. Spong,2006,M
Kristin Y. Pettersen,2001,F
Erjen Lefeber,2001,M
Jay Hauser,1987,M
Masaki Togai,1985,M
Osamu Yamano,1985,M
Bruce Hajek,1985,M
Pedro Encarnação,2000,F
Antonio M. Pascoal,2000,M
W. Brockett,1997,M
Pedro Encarnação,2001,F
Antonio M. Pascoal,2001,M
Pramod P. Khargonekar,1996,M
A. Tikku,1996,F
G. Langari,1990,M
Masayoshi Tomizuka,1990,F
Yudong Ma,2009,F
Francesco Borrelli,2009,M
Brandon Hencey,2009,M
Andrew Packard,2009,M
Scott A. Bortoff,2009,M
Tansu Alpcan,2004,M
Tamer Basar,2004,M
Katsuhisa Furuta,2003,F
Wei Li,2005,F
Christos G. Cassandras,2005,M
Daniele Bernardini,2009,F
Alberto Bemporad,2009,M
R. Middletone,1986,M
Graham C. Goodwin,1986,M
Igor Podlubny,1997,M
L. Dorcak,1997,F
Imrich Kostial,1997,M
Salvatore Monaco,1987,M
Dorothée Normand-Cyrot,1987,F
Libin Jiang,2011,M
Steven H. Low,2011,M
Johan Löfberg,2003,M
Keng Peng Tee,2012,M
Shuzhi Sam Ge,2012,M
Michael M. Zavlanos,2005,M
George J. Pappas,2005,M
Joao P. Hespanha,1999,F
Hyoun Woo Kim,1999,M
S. Shankar Sastry,1999,M
Xiaojun Lin,2006,F
Shahzada B. Rasool,2006,M
Maxime Gautier,1988,M
Wisama Khalil,1988,M
Magnus Egerstedt,2003,M
Yorai Wardi,2003,M
F. Delmotte,2003,M
Saša V. Raković,2004,F
P. Grieder,2004,M
Michal Kvasnica,2004,F
David Q. Mayne,2004,M
Manfred Morari,2004,M
Lin Xiao,2003,F
Stephen Boyd,2003,M
Martin Fabian,1998,M
Anders Hellgren,1998,M
Stefan Pettersson,2003,M
Didier Dubois,1983,M
Kathryn E. Stecke,1983,F
Stefan Richter,2009,M
Colin Jones,2009,M
Manfred Morari,2009,M
Mei Yu,2004,F
Long Wang,2004,M
Tianguang Chu,2004,M
Guangming Xie,2004,M
Kumpati S. Narendra,1992,F
Snehasis Mukhopadhyay,1992,M
Eric C. Kerrigan,2000,M
Jan M. Maciejowski,2000,F
Alex A. Kurzhanskiy,2006,F
Pravin Varaiya,2006,F
Zahra Aminzarey,2014,F
Eduardo D. Sontagy,2014,M
Eric W. Wolff,2012,M
Ufuk Topcu,2012,M
Richard M. Murray,2012,M
M. Alighanbari,2005,M
Jonathan P. How,2005,M
Eiho Uezato,1999,M
Masazumi Ikeda,1999,F
Victor M. Preciado,2013,M
Michael Zargham,2013,M
Chinwendu Enyioha,2013,F
Ali Jadbabaie,2013,F
George J. Pappas,2013,M
L. Lapierre,2003,M
D. Soetanto,2003,M
Antonio M. Pascoal,2003,M
Eric C. Kerrigan,2002,M
David Q. Mayne,2002,M
Alberto Bemporad,1998,M
Reza Olfati-Saber,2006,F
H. Shim,1998,M
T.J. Koo,1998,M
Frank Hoffmann,1998,M
S. Shankar Sastry,1998,M
Wayne J. Book,1990,M
Johan Nilsson,1996,M
Bo Bernhardsson,1996,M
Anthony M. Bloch,1989,M
N. Harris McClamroch,1989,M
Anders Rantzer,1994,M
Alexandre Megretski,1994,F
Marko Bacic,2005,M
David Chang,2003,M
Shawn C. Shadden,2003,M
Jerrold E. Marsden,2003,M
Reza Olfati-Saber,2003,F
P.M. Young,1991,M
Matthew P. Newlin,1991,M
J.C. Doyle,1991,M
S. Gutman,1976,M
George Leitmann,1976,F
Yutaka Yamamoto,1990,M
Sertac Karaman,2009,M
Emilio Frazzoli,2009,M
Eloy Garcia,2011,M
Panos J. Antsaklis,2011,M
Joseph Kimemia,1981,F
Stanley B. Gershwin,1981,M
Veysel Gazi,2002,M
Kevin M. Passino,2002,M
Fei Miao,2013,F
Miroslav Pajic,2013,M
George J. Pappas,2013,M
Guang Yang,2002,M
Vikram Kapila,2002,M
C. Chong,1979,M
A.S. Debs,1979,F
J. Y. S. Luh,1981,M
W. Fisher,1981,M
R. C. Paul,1981,M
Payam Naghshtabrizi,2005,F
Joao P. Hespanha,2005,F
Shengmei Luo,2011,F
Zhaoji Lin,2011,F
Xiaohua Chen,2011,M
Zhuolin Yang,2011,F
Qiuzhen Lin,2011,M
M. A. Leigui de Oliveira,1999,F
Jose C. Geromel,1999,M
J. Bernussou,1999,M
Mei Yu,2004,F
Long Wang,2004,M
Tianguang Chu,2004,M
Fei Hao,2004,M
Parikshit Shah,2010,M
Pablo A. Parrilo,2010,F
Anthony M. Bloch,1990,M
Mahmut Reyhanoglu,1990,M
V. Van Assche,1999,M
Michel Dambrine,1999,F
Jean-François Lafay,1999,F
Johan Richard,1999,M
Haomiao Huang,2011,F
Wei Zhang,2011,M
Jerry Ding,2011,M
Dusan M. Stipanovic,2011,M
Claire J. Tomlin,2011,F
Dimos V. Dimarogonas,2008,M
K. E. Johansson,2008,M
Marieke Cloosterman,2006,M
Nathan van de Wouw,2006,M
Wpmh Maurice Heemels,2006,M
Henk Nijmeijer,2006,M
Shinichi Miyamoto,1996,M
Glenn Vinnicombe,1996,F
Alessandro Bemporad,2000,M
Francesco Borrelli,2000,M
Manfred Morari,2000,M
Debasis Mitra,1985,F
Fabio Romeo,1985,M
Alberto Sangiovanni-Vincentelli,1985,M
Hassan Hammouri,1990,M
J. de Leon Morales,1990,M
Yonggang Xu,2004,M
Joao P. Hespanha,2004,F
Luca Scardovi,2008,M
Rodolphe Sepulchre,2008,M
Hai Lin,2003,F
Guisheng Zhai,2003,M
Panos J. Antsaklis,2003,M
Jerome Le Ny,2012,M
George J. Pappas,2012,M
C.H. Golaszewski,1987,M
Peter J. Ramadge,1987,M
Neil K. Dhingra,2014,F
Mihailo R. Jovanovic,2014,M
Zhi-Quan Luo,2014,M
Anthony M. Bloch,1997,M
Naomi Ehrich Leonard,1997,M
Jerrold E. Marsden,1997,M
Karl-Erik Årzén,2000,M
Anton Cervin,2000,M
Johan Eker,2000,M
Lui Sha,2000,F
Sean P. Meyn,2009,M
Amit Surana,2009,F
Yiqing Lin,2009,F
Stella Maris Oggianu,2009,F
Satish Narayanan,2009,M
Thomas A. Frewen,2009,M
Bernd Tibken,2000,M
Bo Lincoln,2002,M
Anton Cervin,2002,M
Ian R. Petersen,2001,M
Andrey V. Savkin,2001,M
Howard Wong-Toi,1997,M
Eduardo D. Sontag,1980,M
Héctor J. Sussmann,1980,M
Karl Johan Åström,1980,M
Per Hagander,1980,M
Jan Sternby,1980,M
Shao-Po Wu,1996,M
Stephen Boyd,1996,M
Lieven Vandenberghe,1996,F
Andras Varga,1991,F
Martin Andersson,2005,M
Dan Henriksson,2005,M
Anton Cervin,2005,M
Karl-Erik Årzén,2005,M
Leandros Tassiulas,1990,M
Anthony Ephremides,1990,M
Tansu Alpcan,2002,M
Tamer Basar,2002,M
Alan S. Willsky,1974,M
Harold Jones,1974,M
Alekh Agarwal,2012,M
John C. Duchi,2012,M
J-P. Barbot,1996,M
Taha Boukhobza,1996,M
Mohamed Djemai,1996,M
T. Inoue,1990,M
Takeo Kanade,2004,M
Omead Amidi,2004,M
Qifa Ke,2004,F
Derya Aksaray,2016,F
Austin Jones,2016,M
Zhaodan Kong,2016,M
Mac Schwager,2016,M
Calin Belta,2016,F
Didier Henrion,2005,M
Johan Löfberg,2005,M
Michal Kočvara,2005,F
Michael Stingl,2005,M
L. El Ghaoui,1994,M
Venkataramanan Balakrishnan,1994,M
Matthew Flint,2002,M
Marios M. Polycarpou,2002,M
E. Fernandez-Gaucherand,2002,M
B. Ross Barmish,1988,M
