Name,Year
Kevin A. Li,2008
William G. Griswold,2008
James D. Hollan,2008
Gilly Leshed,2008
Eben M. Haber,2008
Tara Matthews,2008
Tessa Lau,2008
Luis von Ahn,2006
Mihir Kedia,2006
Manuel Blum,2006
Joyce C. Ho,2005
Stephen S. Intille,2005
Paul Denny,2013
Mike Scaife,1997
Yvonne Rogers,1997
Frances Aldrich,1997
Matt Davies,1997
Sidhant Gupta,2012
Daniel Morris,2012
Shwetak Patel,2012
Desney S. Tan,2012
Saranga Komanduri,2011
Richard Shay,2011
Patrick Gage Kelley,2011
Michelle L. Mazurek,2011
Lujo Bauer,2011
Nicolas Christin,2011
Lorrie Faith Cranor,2011
Serge Egelman,2011
Saul Greenberg,2001
Michael Rounding,2001
Josua Krause,2016
Adam Perer,2016
Kenney Ng,2016
Peter Wright,2008
John J. McCarthy,2008
Jaime Arguello,2006
Brian S. Butler,2006
Elisabeth Joyce,2006
Robert E. Kraut,2006
Kimberly S. Ling,2006
Carolyn Penstein Rosé,2006
Xiaoqing Wang,2006
Hiroshi Ishii,1998
Craig Wisneski,1998
Scott A. Brave,1998
Andrew Dahley,1998
Matt Gorbet,1998
Brygg Ullmer,1998
Paul Yarin,1998
Nicolas Ducheneaut,2009
Ming-Hui Wen,2009
Nick Yee,2009
Greg Wadley,2009
Joel Brandt,2010
Mira Dontcheva,2010
Marcos Weskamp,2010
Scott R. Klemmer,2010
Elena Rocco,1998
Yu Shi,2007
Natalie Ruiz,2007
Ronnie Taib,2007
Eric T. Choi,2007
Fang Chen,2007
Michael S. Bernstein,2013
Eytan Bakshy,2013
Moira Burke,2013
Brian Karrer,2013
Colin Ware,1993
Kevin Arthur,1993
Kellogg S. Booth,1993
Amy J. Ko,2004
Brad A. Myers,2004
Miika Silfverberg,2000
Ian R. A. Mackenzie,2000
Panu Korhonen,2000
Clayton Epp,2011
Michael Lippold,2011
Regan L. Mandryk,2011
Maia Garau,2003
Mel Slater,2003
Vinoba Vinayagamoorthy,2003
Andrea Brogni,2003
Anthony Steed,2003
M. Angela Sasse,2003
Philip Inglesant,2010
M. Angela Sasse,2010
Aileen Worden,1997
Nef Walker,1997
Krishna Bharat,1997
Scott E. Hudson,1997
Jeffrey Y.C. Wong,2007
Jason Hong,2007
Scott Lederer,2003
Jennifer Mankoff,2003
Anind K. Dey,2003
James Patten,2001
Hiroshi Ishii,2001
Jim Hines,2001
Gian Pangaro,2001
Jun Lin,2000
Mark F. Newman,2000
Jason Hong,2000
James A. Landay,2000
Patrick Baudisch,2009
Gerry Chu,2009
Tammy Toscos,2006
Anne Faber,2006
Shunying An,2006
Mona A. Gandhi,2006
Anna Bouch,2000
