Name,Year
Sergey Levine,2017
Toshio Fukuda,1990
Y. Kawauchi,1990
Evangelos A. Theodorou,2010
Jonas Buchli,2010
Stefan Schaal,2010
Tsuneo Yoshikawa,1985
A. Goswami,1996
Bernard Espiau,1996
A. Keramane,1996
C.W. Warren,1989
Nicholas Ayache,1989
Olivier Faugeras,1989
Cory D. Kidd,2006
Will Taggart,2006
Sherry Turkle,2006
Caroline Gosselin,1994
J.-F. Hamel,1994
Seiji Kawamura,1995
Won Choe,1995
S. Tanaka,1995
S.R. Pandian,1995
Emanuel Falkenauer,1992
Alain Delchambre,1992
D. Ferguson,2006
Nidhi Kalra,2006
Anthony Stentz,2006
Christopher G. Atkeson,1997
J.C. Santamaria,1997
Robert B. Sim,2005
Nicole C. Roy,2005
Yusuke Nakamura,1987
Koichi Nagai,1987
Toshikazu Yoshikawa,1987
B. Faverjon,1987
Pierre Tournassoud,1987
J.W. Fenwick,2002
Paul Newman,2002
John J. Leonard,2002
Harsha Prahlad,2008
Ron Pelrine,2008
Scott Stanford,2008
J. Marlow,2008
Roy D. Kornbluh,2008
Sebastian Thrun,2003
Dirk Hähnel,2003
D. Ferguson,2003
Michael Montemerlo,2003
Rudolph Triebel,2003
Wolfram Burgard,2003
Christopher R. Baker,2003
Zachary Omohundro,2003
Scott M. Thayer,2003
William Whittaker,2003
Bruce H. Krogh,1986
Charles E. Thorpe,1986
Daewon Lee,2012
Tyler Ryan,2012
Hyun-Chul Kim,2012
Sergey Levine,2015
Nolan Wagener,2015
Pieter Abbeel,2015
Ludovic Righetti,2006
Auke Jan Ijspeert,2006
M. Kovac,2008
M. Fuchs,2008
André Guignard,2008
Jean-Christophe Zufferey,2008
D. Floreano,2008
Gerardo Lafferriere,1991
Héctor J. Sussmann,1991
Arunkumar Byravan,2017
Dieter Fox,2017
Nadia Cheng,2012
Maxim Lobovsky,2012
Steven Keating,2012
Adam Setapen,2012
Katy Ilonka Gero,2012
Anette Hosoi,2012
Karl Iagnemma,2012
Michael Wehner,2013
Brendan Quinlivan,2013
Patrick M. Aubin,2013
Ernesto C. Martinez-Villalpando,2013
Michael Baumann,2013
Leia Stirling,2013
Kenneth G. Holt,2013
Robert J. Wood,2013
Conor J. Walsh,2013
Toshio Fukuda,1988
Shigeki Nakagawa,1988
T.C. Hsia,1990
L.S. Gao,1990
Charles W. Warren,1990
Roy Featherstone,2000
David E. Orin,2000
Gerd Hirzinger,2002
N. Sporer,2002
Alin Albu-Schaffer,2002
M. Hähnle,2002
Rainer Krenn,2002
A. Pascucci,2002
Markus Schedl,2002
Grady Williams,2016
Paul Drews,2016
Brian Goldfain,2016
James M. Rehg,2016
Evangelos A. Theodorou,2016
Michelle Lee,2019
Yuke Zhu,2019
Krishnan Srinivasan,2019
Parth D. Shah,2019
Silvio Savarese,2019
Li Fei-Fei,2019
Animesh Garg,2019
Jeannette Bohg,2019
Dirk Hähnel,2003
Rudolph Triebel,2003
Wolfram Burgard,2003
Sebastian Thrun,2003
K. Salisbury,1988
William T. Townsend,1988
B. Ebrman,1988
David L. DiPietro,1988
James A. Preiss,2017
Wolfgang Hönig,2017
Gaurav S. Sukhatme,2017
Nora Ayanian,2017
Aleksandra Faust,2018
Kenneth Oslund,2018
Oscar M. Ramirez,2018
Anthony Francis,2018
Lydia Tapia,2018
Marek Fiser,2018
James Davidson,2018
John Baillieul,1986
Martin Jagersand,1997
Olac Fuentes,1997
Randal C. Nelson,1997
Philipp Lottes,2017
Raghav Khanna,2017
Johannes Pfeifer,2017
Roland Siegwart,2017
Cyrill Stachniss,2017
Ben Kehoe,2013
Akihiro Matsukawa,2013
Sal Candido,2013
James J. Kuffner,2013
Ken Goldberg,2013
Daniel Ricks,2010
Mark B. Colton,2010
Johann Borenstein,1996
Lei Feng,1996
Alison Bruce,2002
Illah Nourbakhsh,2002
Ruth Simmons,2002
Yusuke Nakamura,1990
Ranjan Mukherjee,1990
Hiroyasu Iwata,2009
Shigeki Sugano,2009
Keith Kotay,1998
Daniela Rus,1998
Marsette Vona,1998
Craig D. McGray,1998
Andres Milioto,2018
Philipp Lottes,2018
Cyrill Stachniss,2018
Mark W. Mueller,2014
Raffaello D'Andrea,2014
S. K. Singh,2000
Simmons Rl,2000
Thomas J. Smith,2000
Anthony Stentz,2000
Varun B. Verma,2000
Alex Yahja,2000
Kathleen A. Schwehr,2000
Johann Borenstein,1997
Iwan Ulrich,1997
Tom Lauwers,2006
George Kantor,2006
Ralph L. Hollis,2006
Ambarish Goswami,2004
V. Kallem,2004
A. E. Jimenez-Cano,2013
J C Martin,2013
Guillermo Heredia,2013
Anibal Ollero,2013
R. Cano,2013
Raul Mur-Artal,2014
Juan D. Tardós,2014
Heiko Hoffmann,2009
Peter Pastor,2009
Daehyung Park,2009
Stefan Schaal,2009
Yuan F. Zheng,1988
J.Y.S. Luh,1988
Jonathan Bohren,2011
Radu Bogdan Rusu,2011
E Y Jones,2011
Eitan Marder-Eppstein,2011
Caroline Pantofaru,2011
Melonee Wise,2011
Lorenz Mösenlechner,2011
Wim Meeussen,2011
Stefan M. Holzer,2011
Nelson L. Michael,2008
Michael M. Zavlanos,2008
Vineet Kumar,2008
George J. Pappas,2008
Pratik Agarwal,2013
Gian Diego Tipaldi,2013
Luciano Spinello,2013
Cyrill Stachniss,2013
Wolfram Burgard,2013
Daniel J. Stilwell,1993
John S. Bay,1993
D. Thompson,1987
J. Mundy,1987
Raphael Pelossof,2004
Andrew C. Miller,2004
Pamela K. Allen,2004
Tony Jebara,2004
Brian Ichter,2018
James Harrison,2018
Marco Pavone,2018
Wesley H. Huang,2001
Gregory Kahn,2018
Adam Villaflor,2018
Bosen Ding,2018
Pieter Abbeel,2018
Sergey Levine,2018
N.H. McClamroch,1986
